experiment,PID,group,data,F1_micro,bias,std.error,conf.low,conf.high
felt touch,asd01,ASD,,0.5,0.007833333333333359,0.2038713706187806,0.16666666666666666,0.8333333333333334
felt touch,asd02,ASD,,0.6666666666666666,-8.333333333333526e-4,0.19252051184435945,0.3333333333333333,1
felt touch,asd03,ASD,,0.5,0.006166666666666654,0.20636834410588403,0.16666666666666666,0.8333333333333334
felt touch,asd04,ASD,,0.6666666666666666,-0.0014999999999999458,0.18724472854033547,0.3333333333333333,1
felt touch,asd05,ASD,,0.6,-0.008169264069264104,0.21107567407890857,0.1818181818181818,0.9090909090909091
felt touch,asd06,ASD,,0.5454545454545454,0.010492424242424248,0.19740073453342757,0.1818181818181818,0.9090909090909091
felt touch,asd07,ASD,,0.3333333333333333,-0.0071666666666666545,0.18696474782171946,0,0.6666666666666666
felt touch,asd08,ASD,,0.6666666666666666,0.005166666666666653,0.19143887611384522,0.3333333333333333,1
felt touch,asd09,ASD,,0.4,-0.009806709956710014,0.20859126711569992,0,0.8
felt touch,asd10,ASD,,0.4,-0.010527489177489191,0.20490518271760472,0,0.8
felt touch,asd10a,ASD,,0.3636363636363636,-9.318181818181448e-4,0.19951494801836708,0,0.7272727272727272
felt touch,asd11,ASD,,0.5,0.00216666666666665,0.20455489193594475,0.16666666666666666,0.8333333333333334
felt touch,asd12,ASD,,0.8333333333333334,0.005666666666666598,0.15089213068204863,0.5,1
felt touch,asd13,ASD,,0.4166666666666667,-0.00716666666666671,0.14204629305826258,0.16666666666666666,0.6666666666666666
felt touch,asd14,ASD,,0.5,0.008499999999999952,0.2039809969973304,0.16666666666666666,0.8333333333333334
felt touch,asd15,ASD,,0.6666666666666666,-6.666666666665932e-4,0.19800360514362383,0.3333333333333333,1
felt touch,asd16,ASD,,0.8333333333333334,-6.666666666667043e-4,0.15854274650432862,0.5,1
felt touch,asd17,ASD,,0.1818181818181818,1.9696969696975097e-5,0.17162345729786485,0,0.5454545454545454
felt touch,asd18,ASD,,0.3333333333333333,0.008000000000000007,0.19515428846791588,0,0.6666666666666666
felt touch,asd20,ASD,,0.3333333333333333,0.0026666666666666505,0.19572678825932074,0,0.6666666666666666
felt touch,asd20a,ASD,,0.16666666666666666,0.009000000000000008,0.1563439907493839,0,0.5
felt touch,asd21,ASD,,0.3333333333333333,-0.0026666666666666505,0.19329662647865908,0,0.6666666666666666
felt touch,asd22,ASD,,0.7272727272727272,0.0013623376623377315,0.18258282064433703,0.3636363636363636,1
felt touch,asd23,ASD,,0.6666666666666666,6.666666666667043e-4,0.1917251582711353,0.3333333333333333,1
felt touch,asd24,ASD,,0.7272727272727272,-0.012189393939393889,0.17853548584154244,0.3333333333333333,1
felt touch,asd25,ASD,,0.5,-0.007000000000000006,0.20801934964710708,0.16666666666666666,0.8333333333333334
felt touch,asd26,ASD,,0.3333333333333333,-0.004500000000000004,0.1961898638689245,0,0.6666666666666666
felt touch,asd27,ASD,,0.3333333333333333,-0.0015000000000000013,0.19438501880426778,0,0.6666666666666666
felt touch,asd28,ASD,,0.2,8.080086580086465e-4,0.18744169046350423,0,0.6666666666666666
felt touch,asd29,ASD,,0.5,-0.006666666666666654,0.1991529163892122,0.16666666666666666,0.8333333333333334
felt touch,asd30,ASD,,0.16666666666666666,0.0013333333333333253,0.15624187221658878,0,0.5
felt touch,asd31,ASD,,0.3333333333333333,5.000000000000004e-4,0.18946439736525722,0,0.6666666666666666
felt touch,asd32,ASD,,0.3333333333333333,-0.006666666666666654,0.18750301224733443,0,0.6666666666666666
felt touch,asd33,ASD,,0.5454545454545454,-0.011957070707070638,0.2023956994607772,0.16666666666666666,0.9090909090909091
